ID;Title;Layer;Facade;Function;Description;Feature Category;Tech Category;Status;Comments;Actor;Component;Trigger;Precondition;Result;Priority;Complexity;Size;CREATED_AT;CHANGED_AT;Link auf Testcode;published;Link auf Demo;Require
A01;Get app version information;User Interface;;;;;App;DONE;;User;App;;;;n/a;n/a;n/a;;;;default;;RS4, RT1, RY1
A02;Start app without parameters;User Interface;;;;;App;DONE;;User;App;;;;n/a;n/a;n/a;;;;default;;RT1
A03;Start app with parameters by using link;User Interface;;;;;App;DONE;;User;App;;;;n/a;n/a;n/a;;;;default;;
A04;Show (screen) <Screen>;User Interface;;;The app navigates to the desired screen by itself.;;App;DONE;;User;App;;;;n/a;n/a;n/a;;;;default;;
A10;Refresh (screen) <Screen>;User Interface;;;The app refreshes the current screen.;;App;DONE;;User;App;;;;n/a;n/a;n/a;;;;default;;
A11;Navigate to (screen): <Screen>;Human;Screen;;The user navigates manually to the desired screen. If the screen has preconditions, these preconditions are considered to be fulfilled (e.g. a Profile has been selected and authenticated first).;;User Action;DONE;;User;App;;;;n/a;n/a;n/a;;;;default;;
A12;Select: <Item> (on screen);Human;Screen;;The user selects an item or action from the current screen. There should be a show/navigation use case before using this use case (to define the screen).;;User Action;DONE;;User;App;;;;n/a;n/a;n/a;;;;default;;
A13;Enter: <Data> (on screen);Human;Screen;;The user enters data into the current screen. There should be a show/navigation use case before using this use case (to define the screen).;;User Action;DONE;;User;App;;;;n/a;n/a;n/a;;;;default;;
A14;Scan: <QR-Code> (on different device);Human;Screen;;The user scans a QR-Code from a different device by the app.;;User Action;DONE;;User;App;;;;n/a;n/a;n/a;;;;default;;
A15;Device: <External UseCase>;Human;Screen;;The user processes an external use case on the device, e.g. share something by another app or select a file to upload.;;User Action;DONE;;User;App;;;;n/a;n/a;n/a;;;;default;;
A16;Positive: <Action>;Human;Screen;;The user triggers a positive action on the current screen, i.e. a submit or approval . There should be a show/navigation use case before using this use case (to define the screen).;;User Action;DONE;;User;App;;;;n/a;n/a;n/a;;;;default;;
A17;Negative: <Action>;Human;Screen;;The user triggers a negative action on the current screen, i.e. a reject. There should be a show/navigation use case before using this use case (to define the screen).;;User Action;DONE;;User;App;;;;n/a;n/a;n/a;;;;default;;
A18;Cancel: <Action>;Human;Screen;;The user triggers a cancel action on the current screen, e.g. to postpone a decision. There should be a show/navigation use case before using this use case (to define the screen).;;User Action;DONE;;User;App;;;;n/a;n/a;n/a;;;;default;;
AR1;Get AppRuntime health status;Device;AppRuntime;getHealth;;;AppRuntime;CHANGES REQUIRED;Only returning true -> could be offline/online indication?;App;AppRuntime;;;;LOW;;;;;;default;;
AR2;Get AppRuntime version information;Device;AppRuntime;;;;AppRuntime;DONE;;App;AppRuntime;;;;n/a;n/a;n/a;;;;default;;
ARP1;Create Profile with new Identity;Device;AccountServices;createAccount;A Profile needs to be created in order to use the App. Without a Profile, a very limited set of features is available. In order to create a Profile, the App's privacy policy and possibly end-user license agreements needs to be accepted.;Multi-profile;Profiles;DONE;;User;AppRuntime;;;A Profile has been set up;n/a;n/a;n/a;;;;default;;
ARP2;Get Profiles;Device;AccountServices;getAccounts;The User needs to get all Profiles on the Device and their metadata.;Multi-profile;Profiles;DONE;No Queries?;App;AppRuntime;;;;n/a;n/a;n/a;;;;default;;
ARP3;Get Profile;Device;AccountServices;getProfile;;Multi-profile;Profiles;DONE;;App;AppRuntime;;;;n/a;n/a;n/a;;;;default;;
